Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,17.429772,15.734421,4.88,False,None,0
0,0_scenario_1,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,6.738125,6.528212,4.04,False,None,0
0,0_scenario_2,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,0.873174,10.509312,8.94,False,None,0
0,0_scenario_3,A pink BoxTruck is crossing the road (near) and switching lane.,3.680902,18.36494,4.02,False,None,0
0,0_scenario_4,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,7.626598,19.666708,5.34,False,None,0
0,0_scenario_5,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,1.914916,12.80256,5.64,False,None,0
0,0_scenario_6,A pink SchoolBus is crossing the road (near) and switching lane.,21.737909,4.949521,1.2599999999999998,False,None,0
0,0_scenario_7,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,4.164863,3.872823,0.66,False,None,0
0,0_scenario_8,A red Hatchback is crossing the road (far) and switching lane.,11.189499,3.978995,0.6400000000000001,False,None,0
0,0_scenario_9,A yellow SchoolBus is driving from the opposite direction (near) and switching lane.,1.872634,4.641139,5.699999999999999,False,None,0
0,0_scenario_10,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,2.294046,13.618456,3.1399999999999997,False,None,0
0,0_scenario_11,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.809552,5.24675,4.26,False,None,0
0,0_scenario_12,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,3.066882,8.771745,5.1,False,None,0
0,0_scenario_13,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,16.152743,3.998702,3.82,False,None,0
0,0_scenario_14,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,1.308396,4.54308,3.04,False,None,0
0,0_scenario_15,A black SUV is driving from the opposite direction (far) and switching lane.,1.490052,7.982111,0.64,False,None,0
0,0_scenario_16,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,2.765712,8.775191,6.6,False,None,0
1,1_scenario_0,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,100000,5.104689,2.1799999999999997,False,None,0
1,1_scenario_1,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,4.202461,7.392727,6.18,False,None,0
1,1_scenario_2,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,2.08189,13.696933,2.06,False,None,0
1,1_scenario_3,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,0.926561,6.31841,5.48,False,None,0
1,1_scenario_4,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,0.83333,9.413949,4.04,False,None,0
1,1_scenario_5,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,7.190798,15.305751,0.8400000000000001,False,None,0
1,1_scenario_6,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,2.005412,14.892444,15.18,False,None,0
1,1_scenario_7,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,4.790959,14.914907,10.0,False,None,0
1,1_scenario_8,A pink Sedan is driving from the opposite direction (far) and switching lane.,2.206406,16.460192,5.64,False,None,0
1,1_scenario_9,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,54.323903,13.547882,0.82,False,None,0
1,1_scenario_10,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,6.534439,12.99746,0.9,False,None,0
1,1_scenario_11,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,8.860131,12.760382,3.3800000000000003,False,None,0
1,1_scenario_12,A pink SUV is driving from the opposite direction (far) and maintaining lane.,4.971902,12.18779,3.26,False,None,0
1,1_scenario_13,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,5.595329,11.478187,4.0,False,None,0
1,1_scenario_14,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,7.691296,11.632393,2.36,False,None,0
1,1_scenario_15,A pink SUV is driving from the opposite direction (far) and maintaining lane.,14.539436,11.419853,3.68,False,None,0
1,1_scenario_16,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,2.288371,11.313783,2.02,False,None,0
1,1_scenario_17,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,4.826167,11.110113,4.5600000000000005,False,None,0
2,2_scenario_0,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,11.852782,13.00702,2.44,False,None,0
2,2_scenario_1,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,10.435467,11.414141,4.880000000000001,False,None,0
2,2_scenario_2,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,3.206143,11.976283,2.74,False,None,0
2,2_scenario_3,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,1.425414,9.659737,10.82,False,None,0
2,2_scenario_4,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,0.969519,10.181668,16.22,False,None,0
2,2_scenario_5,A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,5.824834,16.908966,1.78,False,None,0
2,2_scenario_6,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,4.885133,9.078317,6.06,False,None,0
2,2_scenario_7,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,3.415499,8.781883,9.86,False,None,0
2,2_scenario_8,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,18.115922,14.058501,1.6199999999999997,False,None,0
2,2_scenario_9,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,13.64208,0.42000000000000015,False,None,0
2,2_scenario_10,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,41.717078,11.508701,3.4800000000000004,False,None,0
2,2_scenario_11,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,42.774547,6.139212,1.1999999999999997,False,None,0
2,2_scenario_12,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,46.500413,4.21468,3.6999999999999997,False,None,0
2,2_scenario_13,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.556334,3.926934,4.4399999999999995,False,None,0
2,2_scenario_14,A red Jeep is overtaking (near) the ego vehicle and switching lane.,1.940857,11.00762,0.96,False,None,0
3,3_scenario_0,A pedestrian is crossing the road from left to right.,100000,22.239865,1.74,False,None,0
3,3_scenario_1,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,1.695449,5.805052,5.279999999999999,False,None,0
3,3_scenario_2,A white Jeep is crossing the road (far) and maintaining lane.,2.185915,8.323666,1.76,False,None,0
3,3_scenario_3,A pedestrian is crossing the road from right to left.,2.117175,6.987592,7.82,False,None,0
3,3_scenario_4,A skyblue SUV is crossing the road (far) and maintaining lane.,2.472843,6.996,9.92,False,None,0
3,3_scenario_5,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,2.758201,13.756997,2.06,False,None,0
