Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,3.899213,9.631553,5.12,False,None,0
0,0_scenario_1,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,5.323507,4.8,False,None,0
0,0_scenario_2,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,19.683167,3.060639,0.44000000000000017,False,None,0
0,0_scenario_3,A red Jeep is overtaking (near) the ego vehicle and switching lane.,100000,3.810375,0.6799999999999999,False,None,0
0,0_scenario_4,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,3.036495,8.092429,8.1,False,None,0
0,0_scenario_5,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,1.796707,20.093526,7.219999999999999,False,None,0
0,0_scenario_6,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,1.751004,22.678927,3.42,False,None,0
0,0_scenario_7,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,8.278671,28.801797,3.54,False,None,0
0,0_scenario_8,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,7.622263,13.799008,4.28,False,None,0
0,0_scenario_9,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,7.770764,10.959379,2.6,False,None,0
0,0_scenario_10,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,10.868505,11.581569,0.6,False,None,0
0,0_scenario_11,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,1.069962,4.310234,5.18,False,None,0
1,1_scenario_0,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,51.178952,5.540000000000001,False,None,0
1,1_scenario_1,A pink SUV is crossing the road (far) and switching lane.,3.255861,60.081906,3.24,False,None,0
1,1_scenario_2,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,3.140893,9.112942,0.62,False,None,0
1,1_scenario_3,A black SUV is driving from the opposite direction (far) and switching lane.,100000,9.426127,5.84,False,None,0
1,1_scenario_4,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,0.531667,19.75441,10.879999999999999,False,None,0
1,1_scenario_5,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,20.182661,9.48,False,None,0
1,1_scenario_6,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,1.999293,19.089862,3.3000000000000003,False,None,0
1,1_scenario_7,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,11.548442,40.192897,5.7,False,None,0
1,1_scenario_8,A pink SUV is driving from the opposite direction (far) and maintaining lane.,9.206572,39.227699,4.720000000000001,False,None,0
1,1_scenario_9,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,3.059717,15.579206,2.44,False,None,0
1,1_scenario_10,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,4.231155,7.838314,1.7400000000000002,False,None,0
1,1_scenario_11,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,0.842353,4.889312,6.92,False,None,0
