Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A yellow Sedan is driving from the opposite direction (near) and switching lane.,100000,11.47775,2.22,False,None,0
0,0_scenario_1,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,3.198827,29.60918,0.33999999999999986,False,None,0
0,0_scenario_2,A red SUV is crossing the road (near) and maintaining lane.,100000,32.477443,10.18,False,None,0
0,0_scenario_3,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,2.945354,30.13788,2.04,False,None,0
0,0_scenario_4,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,13.995807,29.657526,6.120000000000001,False,None,0
0,0_scenario_5,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,38.575936,33.799794,3.6599999999999997,False,None,0
0,0_scenario_6,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.474929,6.039955,11.379999999999999,False,None,0
0,0_scenario_7,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,4.954912,3.516259,8.6,False,None,0
0,0_scenario_8,A pink SUV is crossing the road (far) and switching lane.,2.666886,12.011624,4.94,False,None,0
0,0_scenario_9,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,4.699955,11.007402,5.859999999999999,False,None,0
0,0_scenario_10,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,3.37722,12.332814,3.9000000000000004,False,None,0
0,0_scenario_11,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,6.384421,21.609995,4.18,False,None,0
0,0_scenario_12,A pink Jeep is crossing the road (near) and switching lane.,3.415036,13.851104,5.68,False,None,0
0,0_scenario_13,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,5.000971,43.452515,3.72,False,None,0
0,0_scenario_14,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,7.285625,13.980413,1.06,False,None,0
0,0_scenario_15,A black SchoolBus is crossing the road (far) and maintaining lane.,1.71076,4.775712,4.9399999999999995,False,None,0
1,1_scenario_0,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,24.889678,5.04,False,None,0
1,1_scenario_1,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,100000,39.540314,1.94,False,None,0
1,1_scenario_2,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,2.674056,17.50987,6.180000000000001,False,None,0
1,1_scenario_3,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,3.51491,3.579552,5.46,False,None,0
1,1_scenario_4,A pink Jeep is crossing the road (near) and switching lane.,0.836022,10.855997,5.5600000000000005,False,None,0
1,1_scenario_5,A red BoxTruck is driving from the opposite direction (near) and maintaining lane.,1.268115,16.592779,6.200000000000001,False,None,0
1,1_scenario_6,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,4.485313,11.596006,15.52,False,None,0
1,1_scenario_7,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,0.754065,2.736916,5.24,False,None,0
1,1_scenario_8_npc_vehicle,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.791976,2.832785,6.0600000000000005,True,npc_vehicle,6.015545232857102
2,2_scenario_0,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,100000,50.718268,3.64,False,None,0
2,2_scenario_1,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.608933,6.598763,9.42,False,None,0
2,2_scenario_2,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,100000,17.659714,5.02,False,None,0
2,2_scenario_3,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000,11.716624,6.16,False,None,0
2,2_scenario_4,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,24.527151,6.0,False,None,0
2,2_scenario_5,A pink Hatchback is crossing the road (far) and maintaining lane.,3.506436,36.063134,5.84,False,None,0
2,2_scenario_6,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,8.620639,15.212586,1.1800000000000002,False,None,0
2,2_scenario_7,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,3.99907,16.053173,10.399999999999999,False,None,0
2,2_scenario_8,A skyblue SUV is crossing the road (far) and maintaining lane.,8.818146,25.759601,4.58,False,None,0
2,2_scenario_9,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,10.684713,33.697274,5.68,False,None,0
2,2_scenario_10,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,11.811375,30.619859,6.6000000000000005,False,None,0
2,2_scenario_11,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,6.91134,32.078653,5.42,False,None,0
2,2_scenario_12,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,2.537394,3.594913,3.92,False,None,0
2,2_scenario_13,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.712057,6.75677,2.6799999999999997,False,None,0
2,2_scenario_14,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,3.848863,8.130367,0.9200000000000002,False,None,0
2,2_scenario_15,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,1.329573,14.311097,5.48,False,None,0
3,3_scenario_0,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,3.467321,51.174391,6.64,False,None,0
3,3_scenario_1,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,100000,59.578711,2.7,False,None,0
3,3_scenario_2,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,2.712021,35.283164,3.9399999999999995,False,None,0
3,3_scenario_3,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,11.495707,37.025898,3.8,False,None,0
3,3_scenario_4,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,1.30559,23.295252,8.219999999999999,False,None,0
3,3_scenario_5,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,4.899266,20.497451,5.96,False,None,0
3,3_scenario_6,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,88.187655,25.912745,2.98,False,None,0
3,3_scenario_7,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,59.94005,7.738405,2.32,False,None,0
3,3_scenario_8,A red SUV is crossing the road (near) and maintaining lane.,2.21724,6.908042,6.98,False,None,0
3,3_scenario_9,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.800707,6.869859,4.76,False,None,0
3,3_scenario_10,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,5.097194,4.612547,4.1,False,None,0
3,3_scenario_11,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,1.940848,14.171317,4.96,False,None,0
3,3_scenario_12,A white Jeep is crossing the road (far) and maintaining lane.,4.110486,23.761402,2.3,False,None,0
3,3_scenario_13,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,6.775974,7.740429,0.5599999999999999,False,None,0
4,4_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,100000,100000,2.6399999999999997,False,None,0
4,4_scenario_1,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,100000,100000,2.7800000000000002,False,None,0
4,4_scenario_2,A pedestrian is crossing the road from right to left.,100000,8.775206,7.82,False,None,0
4,4_scenario_3,A pink SchoolBus is crossing the road (near) and switching lane.,100000,3.679435,2.9000000000000004,False,None,0
4,4_scenario_4,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,9.002761,5.459999999999999,False,None,0
4,4_scenario_5,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,1.137063,11.90112,6.5,False,None,0
4,4_scenario_6,A red Hatchback is crossing the road (far) and switching lane.,2.95603,21.249855,10.6,False,None,0
4,4_scenario_7,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.86749,6.422831,0.5599999999999999,False,None,0
4,4_scenario_8,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,0.709645,3.810277,2.48,False,None,0
4,4_scenario_9,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,2.188653,6.598734,8.879999999999999,False,None,0
4,4_scenario_10,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,6.364137,6.324589,4.140000000000001,False,None,0
4,4_scenario_11,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,5.914896,2.685561,5.42,False,None,0
4,4_scenario_12,A pedestrian is crossing the road from left to right.,1.008722,2.833463,4.22,False,None,0
4,4_scenario_13,A yellow Sedan is crossing the road (far) and maintaining lane.,4.782563,5.789148,3.0199999999999996,False,None,0
4,4_scenario_14,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,7.356234,8.405751,5.4,False,None,0
5,5_scenario_0,A pink Jeep is crossing the road (near) and switching lane.,2.847834,24.924505,4.48,False,None,0
5,5_scenario_1,A red BoxTruck is driving from the opposite direction (near) and maintaining lane.,100000,8.368228,1.66,False,None,0
5,5_scenario_2,A black SUV is crossing the road (near) and switching lane.,2.512041,51.149185,5.78,False,None,0
5,5_scenario_3,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,100000,36.169757,6.08,False,None,0
5,5_scenario_4,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,1.554724,27.943534,2.1199999999999997,False,None,0
5,5_scenario_5,A pink Jeep is crossing the road (near) and switching lane.,1.3038,9.930707,10.16,False,None,0
5,5_scenario_6,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,3.449804,35.399829,2.88,False,None,0
5,5_scenario_7,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,0.465045,3.419536,4.82,False,None,0
5,5_scenario_8,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,0.904254,3.45062,6.1,False,None,0
5,5_scenario_9,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,2.420323,6.53758,8.32,False,None,0
5,5_scenario_10,A yellow Sedan is crossing the road (far) and maintaining lane.,5.475781,5.629433,3.660000000000001,False,None,0
5,5_scenario_11,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,0.597519,3.395042,3.92,False,None,0
5,5_scenario_12,A white SchoolBus is driving from the opposite direction (far) and switching lane.,1.143662,3.967402,2.6,False,None,0
5,5_scenario_13,A yellow Jeep is driving from the opposite direction (far) and switching lane.,4.283286,38.740561,3.32,False,None,0
5,5_scenario_14,A pedestrian is crossing the road from left to right.,6.719483,26.454218,0.7200000000000001,False,None,0
5,5_scenario_15,A black SchoolBus is crossing the road (near) and maintaining lane.,9.18966,14.279414,6.6,False,None,0
6,6_scenario_0,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000,47.1221,4.48,False,None,0
6,6_scenario_1,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,0.593691,8.440798,8.44,False,None,0
6,6_scenario_2,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,100000,25.093649,1.96,False,None,0
6,6_scenario_3,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,100000,28.253783,5.2,False,None,0
6,6_scenario_4,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,2.410166,15.76744,2.66,False,None,0
6,6_scenario_5,A yellow SUV is driving from the opposite direction (near) and switching lane.,1.170224,12.805033,6.74,False,None,0
6,6_scenario_6,A pink Jeep is crossing the road (near) and switching lane.,2.944752,11.367979,2.3400000000000003,False,None,0
6,6_scenario_7,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,3.643393,22.83034,2.34,False,None,0
6,6_scenario_8,A pink Hatchback is crossing the road (far) and maintaining lane.,7.221638,35.730925,2.0,False,None,0
6,6_scenario_9,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,10.261464,6.872415,4.18,False,None,0
6,6_scenario_10,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.469131,6.012599,8.139999999999999,False,None,0
6,6_scenario_11,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,8.999416,7.272586,5.22,False,None,0
6,6_scenario_12,A pink Sedan is driving from the opposite direction (far) and switching lane.,3.560562,21.807928,4.62,False,None,0
6,6_scenario_13,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,6.053778,39.908591,3.58,False,None,0
6,6_scenario_14,A white SchoolBus is crossing the road (far) and switching lane.,6.724739,31.73504,0.6799999999999999,False,None,0
6,6_scenario_15,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,7.121974,28.673874,6.06,False,None,0
7,7_scenario_0,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,3.482637,51.166074,3.06,False,None,0
7,7_scenario_1,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.66111,10.987759,3.1,False,None,0
7,7_scenario_2,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,16.5132,5.7,False,None,0
