Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,100000.0,43.713596,1.84,False,None,0.0
0,0_scenario_1,A yellow Sedan is driving from the opposite direction (near) and switching lane.,1.861125,23.477811,3.98,False,None,0.0
0,0_scenario_2,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.653057,9.563673,7.16,False,None,0.0
0,0_scenario_3,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,5.380862,11.709034,4.58,False,None,0.0
0,0_scenario_4_npc_vehicle,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,0.0,4.56523,9.44,True,npc_vehicle,0.981947263006464
1,1_scenario_0,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,100000.0,8.45497,3.12,False,None,0.0
1,1_scenario_1,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,38.592297,14.401463,3.86,False,None,0.0
1,1_scenario_2,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,0.835935,13.451526,10.82,False,None,0.0
1,1_scenario_3,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,0.877625,9.90024,8.42,False,None,0.0
1,1_scenario_4,A red Hatchback is crossing the road (near) and switching lane.,2.533814,7.975512,0.3999999999999999,False,None,0.0
1,1_scenario_5,A pink SUV is driving from the opposite direction (far) and maintaining lane.,2.807009,8.039102,5.86,False,None,0.0
1,1_scenario_6,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,5.286413,8.521804,5.720000000000001,False,None,0.0
1,1_scenario_7,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,10.858209,10.607022,11.56,False,None,0.0
1,1_scenario_8,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,44.082956,14.736435,0.6799999999999999,False,None,0.0
1,1_scenario_9,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,78.392256,13.307712,2.38,False,None,0.0
1,1_scenario_10,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,10.817385,13.254509,4.0,False,None,0.0
1,1_scenario_11,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,7.468547,13.46831,3.26,False,None,0.0
1,1_scenario_12,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,2.764623,13.262667,4.46,False,None,0.0
1,1_scenario_13,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,3.403314,12.42586,0.68,False,None,0.0
1,1_scenario_14,A red Jeep is overtaking (near) the ego vehicle and switching lane.,8.243516,11.593203,5.14,False,None,0.0
2,2_scenario_0,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,9.20566,13.461988,2.2,False,None,0.0
2,2_scenario_1,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,105.845704,14.101663,3.88,False,None,0.0
2,2_scenario_2,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,1.531842,12.951483,3.9,False,None,0.0
2,2_scenario_3,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,1.096422,12.813297,3.82,False,None,0.0
2,2_scenario_4,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,6.051907,16.909954,0.6599999999999999,False,None,0.0
2,2_scenario_5,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,2.724466,16.634293,12.1,False,None,0.0
2,2_scenario_6,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,1.25433,17.539669,3.94,False,None,0.0
2,2_scenario_7,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,9.235348,21.338627,0.92,False,None,0.0
2,2_scenario_8,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,81.3161,19.870054,0.7799999999999999,False,None,0.0
2,2_scenario_9,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,8.975443,19.043795,5.96,False,None,0.0
2,2_scenario_10,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,9.784284,18.214905,0.52,False,None,0.0
2,2_scenario_11,A red Hatchback is driving from the opposite direction (near) and switching lane.,0.736872,4.994536,10.46,False,None,0.0
2,2_scenario_12,A pink Hatchback is crossing the road (far) and maintaining lane.,0.980904,5.665843,3.4000000000000004,False,None,0.0
2,2_scenario_13,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,1.03659,4.547559,0.6000000000000001,False,None,0.0
2,2_scenario_14,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,1.015457,11.18298,6.6,False,None,0.0
3,3_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000.0,5.400566,3.8,False,None,0.0
3,3_scenario_1,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,1.655738,13.931234,2.78,False,None,0.0
3,3_scenario_2,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,4.201154,19.917618,7.82,False,None,0.0
3,3_scenario_3,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,8.032918,27.762306,3.52,False,None,0.0
3,3_scenario_4,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,77.010185,27.573679,0.6799999999999999,False,None,0.0
3,3_scenario_5_npc_vehicle,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,4.930685,10.16,True,npc_vehicle,1.065820552476404
4,4_scenario_0,A pink SUV is driving from the opposite direction (far) and maintaining lane.,100000.0,43.349373,2.3400000000000003,False,None,0.0
4,4_scenario_1,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,3.93236,14.905666,3.6,False,None,0.0
4,4_scenario_2,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,1.502291,14.238066,9.56,False,None,0.0
4,4_scenario_3,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,1.256409,14.544468,2.42,False,None,0.0
