Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,16.946273,8.892701,6.7,False,None,0
0,0_scenario_1,A pedestrian is crossing the road from left to right.,2.158048,5.652919,8.3,False,None,0
0,0_scenario_2,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,1.498383,5.26,True,pedestrian,2.0195683684923376
1,1_scenario_0,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,23.308688,9.112552,4.06,False,None,0
1,1_scenario_1,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,2.069114,5.669755,6.6000000000000005,False,None,0
1,1_scenario_2,A yellow Sedan is crossing the road (far) and maintaining lane.,3.168146,3.756648,3.8,False,None,0
1,1_scenario_3,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000,35.259945,6.22,False,None,0
1,1_scenario_4,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,2.989789,11.960494,6.36,False,None,0
1,1_scenario_5,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,3.054022,12.710599,2.3200000000000003,False,None,0
1,1_scenario_6,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,0.820755,10.761648,5.2,False,None,0
1,1_scenario_7,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,5.266847,18.118172,1.84,False,None,0
1,1_scenario_8,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,100000,37.293932,5.4799999999999995,False,None,0
1,1_scenario_9,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,100000,40.715398,4.52,False,None,0
1,1_scenario_10,A white BoxTruck is driving from the opposite direction (far) and switching lane.,100000,17.752438,2.88,False,None,0
1,1_scenario_11,A pedestrian is crossing the road from right to left.,100000,8.044322,0.62,False,None,0
1,1_scenario_12,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000,7.826664,5.86,False,None,0
2,2_scenario_0,A yellow Sedan is crossing the road (far) and switching lane.,6.322565,42.067348,3.62,False,None,0
2,2_scenario_1,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000,48.086991,2.34,False,None,0
2,2_scenario_2,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,0.836381,8.081649,0.48,False,None,0
2,2_scenario_3,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,0.769648,13.154401,8.3,False,None,0
2,2_scenario_4,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,4.751761,6.336348,4.199999999999999,False,None,0
2,2_scenario_5,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,1.217754,5.254827,8.26,False,None,0
