Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,35.665322,5.748321,2.66,False,None,0
0,0_scenario_1,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,0.89145,2.554545,2.4799999999999995,True,npc_vehicle,1.8293203838819236
1,1_scenario_0,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,100000,5.46568,0.21999999999999997,False,None,0
1,1_scenario_1,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,0.326089,4.231698,5.54,False,None,0
1,1_scenario_2,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,0.962448,7.719712,3.5200000000000005,False,None,0
1,1_scenario_3,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,1.169775,9.10084,3.52,False,None,0
1,1_scenario_4,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,1.059183,3.84374,11.84,True,npc_vehicle,4.936957818476413
2,2_scenario_0,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,1.237253,5.155741,0.6799999999999997,False,None,0
2,2_scenario_1,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,2.408288,3.389415,5.22,False,None,0
2,2_scenario_2,A red SUV is crossing the road (near) and maintaining lane.,3.36642,5.693472,4.82,False,None,0
2,2_scenario_3,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,1.19338,9.595216,6.78,False,None,0
2,2_scenario_4,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,1.146402,8.948683,6.12,False,None,0
2,2_scenario_5,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,0.895427,5.813981,8.68,False,None,0
2,2_scenario_6,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,1.958109,7.739512,7.68,False,None,0
2,2_scenario_7,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,0.148869,1.472452,8.54,False,None,0
2,2_scenario_8,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,1.039108,10.053093,0.6399999999999999,False,None,0
