Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,1.881311,4.760743,4.859999999999999,False,None,0.0
0,0_scenario_1,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,100000.0,7.068061,4.82,False,None,0.0
0,0_scenario_2,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000.0,11.769412,2.56,False,None,0.0
0,0_scenario_3,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,3.861276,3.96,False,None,0.0
0,0_scenario_4,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,5.279222,16.753244,5.0,False,None,0.0
0,0_scenario_5,A yellow Sedan is crossing the road (far) and switching lane.,3.050053,10.091813,2.72,False,None,0.0
0,0_scenario_6,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,14.942504,5.56,False,None,0.0
0,0_scenario_7,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,11.139875,2.76,False,None,0.0
0,0_scenario_8,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,6.121746,5.791117,4.359999999999999,False,None,0.0
0,0_scenario_9,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,18.057359,3.816944,3.94,False,None,0.0
0,0_scenario_10,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,4.681342,3.9,False,None,0.0
0,0_scenario_11,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,30.979028,3.709775,2.62,False,None,0.0
0,0_scenario_12,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,100000.0,4.272073,0.96,False,None,0.0
0,0_scenario_13,A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,100000.0,31.333228,7.16,False,None,0.0
1,1_scenario_0,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,100000.0,7.563064,4.640000000000001,False,None,0.0
1,1_scenario_1,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,3.865086,47.138456,9.18,False,None,0.0
1,1_scenario_2,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,0.788426,8.540386,10.7,False,None,0.0
1,1_scenario_3,A red Hatchback is crossing the road (far) and switching lane.,100000.0,9.375616,3.78,False,None,0.0
1,1_scenario_4,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,5.184717,24.270663,6.279999999999999,False,None,0.0
1,1_scenario_5,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,100000.0,5.711615,3.62,False,None,0.0
1,1_scenario_6,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,1.213116,3.640333,2.84,False,None,0.0
1,1_scenario_7,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,1.206411,11.541738,7.1,False,None,0.0
1,1_scenario_8,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,1.266092,14.187011,3.52,False,None,0.0
1,1_scenario_9,A white SchoolBus is crossing the road (far) and switching lane.,8.102743,9.502154,4.34,False,None,0.0
1,1_scenario_10,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,17.479335,3.596117,2.78,False,None,0.0
1,1_scenario_11,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,100000.0,4.89833,2.24,False,None,0.0
1,1_scenario_12,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,3.544028,11.989236,1.14,False,None,0.0
1,1_scenario_13,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,100000.0,11.579285,4.78,False,None,0.0
1,1_scenario_14,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000.0,4.356987,5.96,False,None,0.0
1,1_scenario_15,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,100000.0,4.162742,7.12,False,None,0.0
2,2_scenario_0,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,2.151013,43.540291,6.28,False,None,0.0
2,2_scenario_1,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,2.126149,6.480917,11.04,False,None,0.0
2,2_scenario_2,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,100000.0,8.120006,4.619999999999999,False,None,0.0
2,2_scenario_3,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,55.197192,5.872696,0.68,False,None,0.0
2,2_scenario_4,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,60.600283,6.639218,11.12,False,None,0.0
2,2_scenario_5,A red Jeep is overtaking (near) the ego vehicle and switching lane.,2.075129,4.049946,10.46,False,None,0.0
2,2_scenario_6,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,2.278316,15.851854,1.8999999999999997,False,None,0.0
2,2_scenario_7,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,2.571528,9.647474,7.699999999999999,False,None,0.0
2,2_scenario_8,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,8.396545,8.26,False,None,0.0
2,2_scenario_9,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,20.291107,3.09273,4.5600000000000005,False,None,0.0
2,2_scenario_10,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,14.146008,3.4799999999999995,False,None,0.0
2,2_scenario_11,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,15.062095,0.8599999999999999,False,None,0.0
2,2_scenario_12,A red BoxTruck is driving from the opposite direction (near) and maintaining lane.,55.571963,22.452504,5.44,False,None,0.0
3,3_scenario_0,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,50.192959,4.16,False,None,0.0
3,3_scenario_1,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,2.792091,50.744634,1.46,False,None,0.0
3,3_scenario_2,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,3.704948,8.166325,1.6999999999999995,False,None,0.0
3,3_scenario_3,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,1.979359,4.417655,5.42,False,None,0.0
3,3_scenario_4,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,1.400919,14.36084,5.88,False,None,0.0
3,3_scenario_5,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.857056,10.137189,9.74,False,None,0.0
3,3_scenario_6,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,2.543403,10.17023,5.92,False,None,0.0
3,3_scenario_7,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,3.597334,19.561103,4.08,False,None,0.0
3,3_scenario_8,A yellow Sedan is crossing the road (far) and maintaining lane.,13.082555,21.431564,4.56,False,None,0.0
3,3_scenario_9,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,100000.0,3.889287,0.78,False,None,0.0
3,3_scenario_10,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,100000.0,11.096989,7.12,False,None,0.0
4,4_scenario_0,A yellow Sedan is driving from the opposite direction (near) and switching lane.,100000.0,12.420623,4.68,False,None,0.0
4,4_scenario_1,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,9.700861,8.2,False,None,0.0
4,4_scenario_2,A red BoxTruck is driving from the opposite direction (far) and maintaining lane.,1.703124,5.144951,5.879999999999999,False,None,0.0
4,4_scenario_3,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,1.889899,10.9623,5.68,False,None,0.0
4,4_scenario_4,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,1.527472,11.065168,3.26,False,None,0.0
4,4_scenario_5,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,1.611576,4.780997,5.4,False,None,0.0
4,4_scenario_6,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,1.706424,11.106627,1.62,False,None,0.0
4,4_scenario_7,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,7.154677,14.494702,9.38,False,None,0.0
4,4_scenario_8,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,1.430351,12.415574,5.64,False,None,0.0
4,4_scenario_9,A red Hatchback is crossing the road (far) and switching lane.,100000.0,15.130177,2.7,False,None,0.0
4,4_scenario_10,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,18.96996,11.514895,1.9,False,None,0.0
4,4_scenario_11,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,26.8877,2.32,False,None,0.0
4,4_scenario_12,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,47.115672,24.417414,1.3199999999999998,False,None,0.0
4,4_scenario_13,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,100000.0,3.828657,0.6799999999999999,False,None,0.0
4,4_scenario_14,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,3.855035,5.72,False,None,0.0
4,4_scenario_15,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,100000.0,22.090591,4.38,False,None,0.0
5,5_scenario_0,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,100000.0,8.27716,4.8,False,None,0.0
5,5_scenario_1,A yellow Sedan is crossing the road (far) and maintaining lane.,9.204669,26.329682,2.76,False,None,0.0
5,5_scenario_2,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,1.765664,27.11105,0.6000000000000001,False,None,0.0
5,5_scenario_3,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,11.61528,8.651736,11.36,False,None,0.0
5,5_scenario_4,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,4.430489,11.213241,9.1,False,None,0.0
5,5_scenario_5,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,1.965074,3.193346,5.42,False,None,0.0
5,5_scenario_6,A pink Sedan is driving from the opposite direction (far) and switching lane.,3.422557,27.302373,6.64,False,None,0.0
5,5_scenario_7,A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,5.092071,51.461635,3.62,False,None,0.0
5,5_scenario_8,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,9.811647,9.287951,10.46,False,None,0.0
5,5_scenario_9,A pedestrian is crossing the road from right to left.,11.395551,19.13042,2.12,False,None,0.0
5,5_scenario_10,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,36.304988,12.700671,3.6,False,None,0.0
5,5_scenario_11,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,39.226925,11.187966,5.16,False,None,0.0
5,5_scenario_12,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000.0,7.360257,0.8200000000000001,False,None,0.0
5,5_scenario_13,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,4.538788,4.02,False,None,0.0
6,6_scenario_0,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,100000.0,46.517863,3.42,False,None,0.0
6,6_scenario_1,A red BoxTruck is driving from the opposite direction (near) and maintaining lane.,8.374641,7.752178,14.28,False,None,0.0
6,6_scenario_2,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,4.435704,23.151461,7.98,False,None,0.0
6,6_scenario_3,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,3.195028,5.343568,1.8,False,None,0.0
6,6_scenario_4,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.751567,6.773256,6.0,False,None,0.0
6,6_scenario_5,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,1.286425,4.189193,3.26,False,None,0.0
6,6_scenario_6,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,1.642398,6.746092,4.880000000000001,False,None,0.0
6,6_scenario_7,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,2.436727,19.072071,5.72,False,None,0.0
6,6_scenario_8,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,3.750352,10.714509,7.02,False,None,0.0
6,6_scenario_9,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,10.226772,9.235853,11.86,False,None,0.0
6,6_scenario_10,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,100000.0,3.687438,4.16,False,None,0.0
6,6_scenario_11,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,23.582897,10.858071,2.62,False,None,0.0
6,6_scenario_12,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,100000.0,9.863227,2.4800000000000004,False,None,0.0
6,6_scenario_13,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,59.802614,9.508236,4.68,False,None,0.0
6,6_scenario_14,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,100000.0,8.972006,6.98,False,None,0.0
7,7_scenario_0,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,1.2391,12.289133,3.66,False,None,0.0
7,7_scenario_1,A pink BoxTruck is crossing the road (near) and switching lane.,17.121255,12.853768,14.42,False,None,0.0
7,7_scenario_2,A red Hatchback is driving from the opposite direction (near) and switching lane.,100000.0,10.065508,1.0800000000000003,False,None,0.0
7,7_scenario_3,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,67.679503,28.013979,0.3400000000000001,False,None,0.0
7,7_scenario_4,A pink Hatchback is crossing the road (far) and maintaining lane.,3.143166,8.63815,11.58,False,None,0.0
7,7_scenario_5,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,7.893073,8.801699,5.94,False,None,0.0
7,7_scenario_6,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,9.836617,2.24,False,None,0.0
7,7_scenario_7,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,100000.0,15.827985,3.78,False,None,0.0
7,7_scenario_8,A yellow Jeep is driving from the opposite direction (far) and switching lane.,12.337158,6.002821,7.64,False,None,0.0
7,7_scenario_9,A skyblue SUV is crossing the road (far) and maintaining lane.,32.641345,3.777362,1.88,False,None,0.0
7,7_scenario_10,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,37.600867,8.789211,1.14,False,None,0.0
7,7_scenario_11,A skyblue SUV is crossing the road (far) and maintaining lane.,100000.0,8.560142,4.54,False,None,0.0
7,7_scenario_12,A yellow Sedan is crossing the road (far) and switching lane.,39.596467,8.521708,6.88,False,None,0.0
8,8_scenario_0,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,2.127519,43.758276,4.359999999999999,False,None,0.0
8,8_scenario_1,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,2.099326,36.319961,5.24,False,None,0.0
