Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,100000.0,51.419757,2.84,False,None,0.0
0,0_scenario_1,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,3.628612,44.365284,7.839999999999999,False,None,0.0
0,0_scenario_2,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000.0,36.498047,2.92,False,None,0.0
0,0_scenario_3,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,6.760293,0.66,False,None,0.0
0,0_scenario_4,A pink Sedan is driving from the opposite direction (far) and switching lane.,5.455546,22.681915,10.08,False,None,0.0
0,0_scenario_5,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,1.84566,21.254167,7.439999999999999,False,None,0.0
0,0_scenario_6,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.398523,14.129069,2.72,False,None,0.0
0,0_scenario_7,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,13.504002,36.47534,3.62,False,None,0.0
0,0_scenario_8,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,2.40823,10.407193,4.739999999999999,False,None,0.0
0,0_scenario_9,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,3.207765,3.812914,2.18,False,None,0.0
0,0_scenario_10,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,0.53501,9.877773,0.6599999999999999,False,None,0.0
0,0_scenario_11,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,2.257239,4.151732,4.98,False,None,0.0
1,1_scenario_0,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,1.76561,12.15683,4.74,False,None,0.0
1,1_scenario_1,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,2.810362,20.805585,2.8000000000000003,False,None,0.0
1,1_scenario_2,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,100000.0,14.212779,1.68,False,None,0.0
1,1_scenario_3,A yellow Jeep is driving from the opposite direction (far) and switching lane.,39.671826,3.362096,14.22,False,None,0.0
1,1_scenario_4,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,100000.0,10.518209,5.7,False,None,0.0
1,1_scenario_5,A pedestrian is crossing the road from left to right.,3.84466,15.491188,1.66,False,None,0.0
1,1_scenario_6,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,3.670294,12.179888,11.88,False,None,0.0
1,1_scenario_7,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,2.602746,7.283577,2.24,False,None,0.0
1,1_scenario_8,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,7.657139,14.816374,4.84,False,None,0.0
