Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A yellow Jeep is driving from the opposite direction (far) and switching lane.,100000,16.673892,3.5,False,None,0
0,0_scenario_1,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,100000,12.056364,3.3,False,None,0
0,0_scenario_2,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,100000,51.587665,4.359999999999999,False,None,0
0,0_scenario_3,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.675332,7.250854,11.42,False,None,0
0,0_scenario_4,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,4.594489,10.517598,4.34,False,None,0
0,0_scenario_5,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,3.364208,22.787274,2.9999999999999996,False,None,0
0,0_scenario_6,A pedestrian is crossing the road from right to left.,6.682667,11.222059,13.12,False,None,0
0,0_scenario_7,A red Hatchback is crossing the road (near) and switching lane.,12.044136,5.695262,8.02,False,None,0
0,0_scenario_8,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,5.343807,2.142678,2.2800000000000002,False,None,0
0,0_scenario_9,A black SchoolBus is crossing the road (far) and maintaining lane.,3.076893,21.637767,11.48,False,None,0
0,0_scenario_10,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,3.45491,13.422384,3.34,False,None,0
0,0_scenario_11,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,0.600766,3.67197,5.68,False,None,0
0,0_scenario_12,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,0.67213,5.530734,2.74,False,None,0
0,0_scenario_13,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,5.945094,29.832189,5.1,False,None,0
0,0_scenario_14,A yellow Hatchback is crossing the road (near) and maintaining lane.,3.547469,8.262504,2.62,False,None,0
0,0_scenario_15,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,2.819625,13.171984,0.76,False,None,0
1,1_scenario_0,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,100000,100000,3.16,False,None,0
1,1_scenario_1,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,100000,33.407306,2.8200000000000003,False,None,0
1,1_scenario_2,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,1.034481,18.450598,5.839999999999999,False,None,0
1,1_scenario_3,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000,15.73604,8.98,False,None,0
1,1_scenario_4,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,1.615265,17.089817,4.359999999999999,False,None,0
1,1_scenario_5,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,1.652358,24.827261,0.43999999999999995,False,None,0
1,1_scenario_6,A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,8.23965,36.845312,1.38,False,None,0
1,1_scenario_7,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,1.925581,7.568145,9.78,False,None,0
1,1_scenario_8,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,2.608836,12.752914,8.22,False,None,0
1,1_scenario_9,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,5.051093,12.242127,12.26,False,None,0
1,1_scenario_10,A red Hatchback is crossing the road (near) and switching lane.,3.238953,3.820254,4.74,False,None,0
1,1_scenario_11,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,4.424173,6.666192,5.76,False,None,0
1,1_scenario_12,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,3.383742,13.732721,2.44,False,None,0
1,1_scenario_13,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,3.982565,2.591706,2.08,True,npc_vehicle,1.3334474585310567
2,2_scenario_0,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,100000,50.622524,3.9399999999999995,False,None,0
2,2_scenario_1,A white Jeep is crossing the road (far) and maintaining lane.,100000,53.903889,2.96,False,None,0
2,2_scenario_2,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,0.99106,11.082277,6.08,False,None,0
2,2_scenario_3,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,7.040233,11.589537,2.92,False,None,0
